"forms","pronunciation","translation_ru","category"
"ο Ιούλιος","о иУльос","июль","время"
"ο Αύγουστος","о Афгустос","август","время"
"ο Σεπτέμβριος","о сэптЭмвриос","сентябрь","время"
"ο Οκτώβριος","о октОвриос","октябрь","время"
"ο Νοέμβριος","о ноЭмвриос","ноябрь","время"
"ο Δεκέμβριος","о дэкЭмвриос","декабрь","время"
"η άνοιξη","и Анихси","весна","время"
"το καλοκαίρι","то калокЭри","лето","время"
"το φθινόπωρο","то фтинОпоро","осень","время"
"ο χειμώνας","о химОнас","зима","время"
"το πρωί","то проИ","утро","время"
"το μεσημέρι","то мэсимЭри","полдень","время"
"το απόγευμα","то апОгэвма","день (после полудня)","время"
"το βράδυ","то врАди","вечер","время"
"η νύχτα","и нИхта","ночь","время"
"η εβδομάδα","и эвдомАда","неделя","время"
"ο μήνας","о мИнас","месяц","время"
"ο χρόνος / το έτος","о хрОнос / то Этос","год","время"
"η οικογένεια","и икогЭнья","семья","семья и люди"
"ο πατέρας / ο μπαμπάς","о патЭрас / о бабАс","отец / папа","семья и люди"
"η μητέρα / η μαμά","и митЭра / и мамА","мать / мама","семья и люди"
"ο γιος","о йос","сын","семья и люди"
"η κόρη","и кОри","дочь","семья и люди"
"ο αδερφός","о адэрфОс","брат","семья и люди"
"η αδερφή","и адэрфИ","сестра","семья и люди"
"ο παππούς","о папУс","дедушка","семья и люди"
"η γιαγιά","и йайЯ","бабушка","семья и люди"
"ο θείος","о тИос","дядя","семья и люди"
"η θεία","и тИа","тётя","семья и люди"
"ο ξάδερφος","о ксАдэрфос","двоюродный брат","семья и люди"
"η ξαδέρφη","и ксадЭрфи","двоюродная сестра","семья и люди"
"ο άντρας","о Андрас","мужчина, муж","семья и люди"
"η γυναίκα","и йинЭка","женщина, жена","семья и люди"
"το παιδί","то пэдИ","ребёнок","семья и люди"
"το αγόρι","то агОри","мальчик","семья и люди"
"το κορίτσι","то корИци","девочка","семья и люди"
"ο φίλος","о фИлос","друг","семья и люди"
"η φίλη","и фИли","подруга","семья и люди"
"ο γείτονας","о йИтонас","сосед","семья и люди"
"το όνομα","то Онома","имя","семья и люди"
"το επώνυμο","то эпОнимо","фамилия","семья и люди"
"η ηλικία","и иликИа","возраст","семья и люди"
"το κεφάλι","то кэфАли","голова","тело и здоровье"
"τα μαλλιά","та мальЯ","волосы","тело и здоровье"
"το πρόσωπο","то прОсопо","лицо","тело и здоровье"
"το μάτι","то мАти","глаз","тело и здоровье"
"η μύτη","и мИти","нос","тело и здоровье"
"το στόμα","то стОма","рот","тело и здоровье"
"το αυτί","то афтИ","ухо","тело и здоровье"
"το χέρι","то хЭри","рука (кисть)","тело и здоровье"
"το πόδι","то пОди","нога","тело и здоровье"
"η πλάτη","и плАти","спина","тело и здоровье"
"η κοιλιά","и кильЯ","живот","тело и здоровье"
"η καρδιά","и кардьЯ","сердце","тело и здоровье"
"το δόντι","то дОнди","зуб","тело и здоровье"
"ο λαιμός","о лэмОс","шея, горло","тело и здоровье"
"άρρωστος","Аростос","больной","тело и здоровье"
"υγιής","игьИс","здоровый","тело и здоровье"
"ο πόνος","о пОнос","боль","тело и здоровье"
"πονάω","понАо","болеть (испытывать боль)","тело и здоровье"
"ο πονοκέφαλος","о поновкЭфалос","головная боль","тело и здоровье"
"το φάρμακο","то фАрмако","лекарство","тело и здоровье"
"ο γιατρός","о ятрОс","врач","тело и здоровье"
"το νοσοκομείο","то носокомИо","больница","тело и здоровье"
"το φαρμακείο","то фармакИо","аптека","тело и здоровье"
"κρυωμένος","криомЭнос","простуженный","тело и здоровье"
"ο πυρετός","о пирэтОс","температура (жар)","тело и здоровье"
"ο βήχας","о вИхас","кашель","тело и здоровье"
"κουρασμένος","курасмЭнос","уставший","тело и здоровье"
"χαρούμενος","харУмэнос","радостный","тело и здоровье"
"λυπημένος","липимЭнос","грустный","тело и здоровье"
"θυμωμένος","тимомЭнос","злой, сердитый","тело и здоровье"
"φοβισμένος","фовисмЭнос","испуганный","тело и здоровье"
"νιώθω","ньОто","чувствовать","тело и здоровье"
"το νερό","то нэрО","вода","еда и напитки"
"ο καφές","о кафЭс","кофе","еда и напитки"
"το τσάι","то цАи","чай","еда и напитки"
"το κρασί","то красИ","вино","еда и напитки"
"η μπίρα","и бИра","пиво","еда и напитки"
"το γάλα","то гАла","молоко","еда и напитки"
"ο χυμός","о химОс","сок","еда и напитки"
"το ψωμί","то псомИ","хлеб","еда и напитки"
"το βούτυρο","то вУтиро","масло (сливочное)","еда и напитки"
"το τυρί","то тирИ","сыр","еда и напитки"
"το γιαούρτι","то яУрти","йогурт","еда и напитки"
"τα αυγά","та авгА","яйца","еда и напитки"
"το κρέας","то крЭас","мясо","еда и напитки"
"το κοτόπουλο","то котОпуло","курица (мясо)","еда и напитки"
"το ψάρι","то псАри","рыба","еда и напитки"
"τα λαχανικά","та лаханикА","овощи","еда и напитки"
"τα φρούτα","та фрУта","фрукты","еда и напитки"
"η ντομάτα","и домАта","помидор","еда и напитки"
"το αγγούρι","то ангУри","огурец","еда и напитки"
"η πατάτα","и патАта","картофель","еда и напитки"
"το κρεμμύδι","то крэмИди","лук","еда и напитки"
"το μήλο","то мИло","яблоко","еда и напитки"
"η μπανάνα","и банАна","банан","еда и напитки"
"το πορτοκάλι","то портокАли","апельсин","еда и напитки"
"το λεμόνι","то лэмОни","лимон","еда и напитки"
"τα σταφύλια","та стафИлья","виноград","еда и напитки"
"η ζάχαρη","и зАхари","сахар","еда и напитки"
"το αλάτι","то алАти","соль","еда и напитки"
"το πιπέρι","то пипЭри","перец","еда и напитки"
"το λάδι","то лАди","масло (растительное)","еда и напитки"
"το ρύζι","то рИзи","рис","еда и напитки"
"τα ζυμαρικά","та зимарикА","макароны","еда и напитки"
"η σούπα","и сУпа","суп","еда и напитки"
"η σαλάτα","и салАта","салат","еда и напитки"
"το γλυκό","то гликО","сладкое, десерт","еда и напитки"
"η σοκολάτα","и соколАта","шоколад","еда и напитки"
"το παγωτό","то пагодО","мороженое","еда и напитки"
"το εστιατόριο","то эстьатОрьо","ресторан","еда и напитки"
"ο λογαριασμός","о логарьазмОс","счёт (в ресторане)","еда и напитки"
"το μενού","то мэнУ","меню","еда и напитки"
"πεινάω","пинАо","быть голодным","еда и напитки"
"διψάω","дипсАо","хотеть пить","еда и напитки"
"τρώω","трОо","есть, кушать","еда и напитки"
"πίνω","пИно","пить","еда и напитки"
"νόστιμος","нОстимос","вкусный","еда и напитки"
"το σπίτι; τα σπίτια","спИти","дом","дом"
"το δωμάτιο","то домАтьо","комната","дом"
"η κουζίνα","и кузИна","кухня","дом"
"το σαλόνι","то салОни","гостиная","дом"
"η κρεβατοκάμαρα","и крэватокАмара","спальня","дом"
"το μπάνιο","то бАньо","ванная","дом"
"η τουαλέτα","и туалЭта","туалет","дом"
"η πόρτα","и пОрта","дверь","дом"
"το παράθυρο","то парАтиро","окно","дом"
"το τραπέζι","то трапЭзи","стол","дом"
"η καρέκλα","и карЭкла","стул","дом"
"ο καναπές","о канапЭс","диван","дом"
"το κρεβάτι","то крэвАти","кровать","дом"
"η ντουλάπα","и дулАпа","шкаф","дом"
"το ράφι","то рАфи","полка","дом"
"ο καθρέφτης","о катрЭфтис","зеркало","дом"
"η λάμπα","и лАмба","лампа","дом"
"το ψυγείο","то псийИо","холодильник","дом"
"ο φούρνος","о фУрнос","печь, духовка","дом"
"το πλυντήριο","то плиндИрьо","стиральная машина","дом"
"τα κλειδιά","та клидьЯ","ключи","дом"
"ο τοίχος","о тИхос","стена","дом"
"η οροφή","и орофИ","потолок","дом"
"το πάτωμα","то пАтома","пол","дом"
"η σκάλα","и скАла","лестница","дом"
"ο κήπος","о кИпос","сад","дом"
"το μπαλκόνι","то балкОни","балкон","дом"
"το ενοίκιο","то энИкьо","аренда, квартплата","дом"
"καθαρίζω","катарИзо","убирать, чистить","дом"
"τα ρούχα","та рУха","одежда","одежда"
"το πουκάμισο","то пукАмисо","рубашка","одежда"
"το παντελόνι","то пандэлОни","брюки","одежда"
"η φούστα","и фУста","юбка","одежда"
"το φόρεμα","то фОрэма","платье","одежда"
"το μπλουζάκι","то блузАки","футболка","одежда"
"το πουλόβερ","то пулОвэр","свитер","одежда"
"το μπουφάν","то буфАн","куртка","одежда"
"το παλτό","то палтО","пальто","одежда"
"τα παπούτσια","та папУца","обувь, туфли","одежда"
"οι κάλτσες","и кАльцэс","носки","одежда"
"το καπέλο","то капЭло","шапка, шляпа","одежда"
"τα γάντια","та гАндья","перчатки","одежда"
"το κασκόλ","то каскОл","шарф","одежда"
"η ζώνη","и зОни","ремень","одежда"
"τα γυαλιά","та ялья","очки","одежда"
"το ρολόι","то ролОи","часы","одежда"
"φοράω","форАо","носить (одежду)","одежда"
"ντύνομαι","дИномэ","одеваться","одежда"
"άσπρο / λευκό","Аспро / лэфкО","белый","цвета"
"μαύρο","мАвро","чёрный","цвета"
"κόκκινο","кОкино","красный","цвета"
"μπλε","блэ","синий","цвета"
"πράσινο","прАсино","зелёный","цвета"
"κίτρινο","кИтрино","жёлтый","цвета"
"πορτοκαλί","портокалИ","оранжевый","цвета"
"μοβ","мов","фиолетовый","цвета"
"ροζ","роз","розовый","цвета"
"καφέ","кафЭ","коричневый","цвета"
"γκρι","гри","серый","цвета"
"χρυσό","хрисО","золотой","цвета"
"ασημί","асимИ","серебряный","цвета"
"ο καιρός","о кэрОс","погода","погода и природа"
"ο ήλιος","о Ильос","солнце","погода и природа"
"η βροχή","и врохИ","дождь","погода и природа"
"το χιόνι","то хьОни","снег","погода и природа"
"ο άνεμος","о Анэмос","ветер","погода и природа"
"το σύννεφο","то сИнэфо","облако","погода и природа"
"η θερμοκρασία","и тэрмокрасИа","температура","погода и природа"
"ζεστός","зэстОс","жаркий, тёплый","погода и природа"
"κρύος","крИос","холодный","погода и природа"
"ηλιόλουστος","ильОлустос","солнечный","погода и природа"
"συννεφιασμένος","синэфьазмЭнос","облачный","погода и природа"
"η θάλασσα","и тАласа","море","погода и природа"
"το βουνό","то вунО","гора","погода и природа"
"το δέντρο","то дЭндро","дерево","погода и природа"
"το λουλούδι","то лулУди","цветок","погода и природа"
"ο ουρανός","о уранОс","небо","погода и природа"
"η γη","и йи","земля","погода и природа"
"η λίμνη","и лИмни","озеро","погода и природа"
"το ποτάμι","то потАми","река","погода и природа"
"το δάσος","то дАсос","лес","погода и природа"
"η πόλη","и пОли","город","город и направления"
"το χωριό","то хорьО","деревня","город и направления"
"ο δρόμος","о дрОмос","улица, дорога","город и направления"
"η πλατεία","и платИа","площадь","город и направления"
"το κέντρο","то кЭндро","центр","город и направления"
"η γειτονιά","и йитоньЯ","район","город и направления"
"η τράπεζα","и трАпэза","банк","город и направления"
"το ταχυδρομείο","то тахидромИо","почта","город и направления"
"η εκκλησία","и эклисИа","церковь","город и направления"
"το σχολείο","то схолИо","школа","город и направления"
"το πανεπιστήμιο","то панэпистИмьо","университет","город и направления"
"το πάρκο","то пАрко","парк","город и направления"
"το μουσείο","то мусИо","музей","город и направления"
"ο σταθμός","о ставмОс","вокзал, станция","город и направления"
"το αεροδρόμιο","то аэродрОмьо","аэропорт","город и направления"
"αριστερά","аристэрА","налево","город и направления"
"δεξιά","дэксьЯ","направо","город и направления"
"ευθεία","эфтИа","прямо","город и направления"
"κοντά","кондА","близко","город и направления"
"μακριά","макрьЯ","далеко","город и направления"
"εδώ","эдО","здесь","город и направления"
"εκεί","экИ","там","город и направления"
"η διεύθυνση","и дьЭфтинси","адрес","город и направления"
"το λεωφορείο","то лэофорИо","автобус","транспорт и путешествия"
"το τρένο","то трЭно","поезд","транспорт и путешествия"
"το αυτοκίνητο","то афтокИнито","автомобиль","транспорт и путешествия"
"το ταξί","то таксИ","такси","транспорт и путешествия"
"το αεροπλάνο","то аэроплАно","самолёт","транспорт и путешествия"
"το πλοίο","то плИо","корабль","транспорт и путешествия"
"το ποδήλατο","то подИлато","велосипед","транспорт и путешествия"
"το μετρό","то мэтрО","метро","транспорт и путешествия"
"το εισιτήριο","то иситИрьо","билет","транспорт и путешествия"
"το διαβατήριο","то дьаватИрьо","паспорт","транспорт и путешествия"
"οι βαλίτσες","и валИцэс","чемоданы","транспорт и путешествия"
"το ταξίδι","то таксИди","путешествие, поездка","транспорт и путешествия"
"οι διακοπές","и дьакопЭс","отпуск, каникулы","транспорт и путешествия"
"ταξιδεύω","таксидЭво","путешествовать","транспорт и путешествия"
"φεύγω","фЭвго","уезжать, уходить","транспорт и путешествия"
"φτάνω","фтАно","прибывать","транспорт и путешествия"
"οδηγώ","одигО","водить (машину)","транспорт и путешествия"
"το ξενοδοχείο","то ксэнодохИо","гостиница","транспорт и путешествия"
"κρατάω θέση","кратАо тЭси","бронировать место","транспорт и путешествия"
"η πτήση","и птИси","рейс","транспорт и путешествия"
"τα λεφτά / τα χρήματα","та лэфтА / та хрИмата","деньги","покупки и деньги"
"το ευρώ","то эврО","евро","покупки и деньги"
"η τιμή","и тимИ","цена","покупки и деньги"
"φτηνός","фтинОс","дешёвый","покупки и деньги"
"ακριβός","акривОс","дорогой","покупки и деньги"
"το μαγαζί / το κατάστημα","то магазИ / то катАстима","магазин","покупки и деньги"
"η αγορά","и агорА","рынок","покупки и деньги"
"το σουπερμάρκετ","то супэрмАркэт","супермаркет","покупки и деньги"
"αγοράζω","агорАзо","покупать","покупки и деньги"
"πουλάω","пулАо","продавать","покупки и деньги"
"πληρώνω","плирОно","платить","покупки и деньги"
"η απόδειξη","и апОдикси","чек, квитанция","покупки и деньги"
"η πιστωτική κάρτα","и пистотикИ кАрта","кредитная карта","покупки и деньги"
"τα ρέστα","та рЭста","сдача","покупки и деньги"
"το ταμείο","то тамИо","касса","покупки и деньги"
"η προσφορά","и просфорА","скидка, акция","покупки и деньги"
"το μέγεθος","то мЭгэтос","размер","покупки и деньги"
"δοκιμάζω","докимАзо","примерять, пробовать","покупки и деньги"
"η δουλειά","и дульЯ","работа","работа и профессии"
"ο δάσκαλος","о дАскалос","учитель","работа и профессии"
"η δασκάλα","и даскАла","учительница","работа и профессии"
"ο νοσοκόμος","о носокОмос","медбрат","работа и профессии"
"η νοσοκόμα","и носокОма","медсестра","работа и профессии"
"ο μηχανικός","о миханикОс","инженер","работа и профессии"
"ο δικηγόρος","о дикигОрос","юрист","работа и профессии"
"ο αστυνομικός","о астиномикОс","полицейский","работа и профессии"
"ο πυροσβέστης","о пирозвЭстис","пожарный","работа и профессии"
"ο μάγειρας","о мАйирас","повар","работа и профессии"
"ο σερβιτόρος","о сэрвитОрос","официант","работа и профессии"
"ο οδηγός","о одигОс","водитель","работа и профессии"
"ο φοιτητής","о фитьтИс","студент","работа и профессии"
"ο υπάλληλος","о ипАлилос","служащий, сотрудник","работа и профессии"
"ο διευθυντής","о дьэфтиндИс","директор","работа и профессии"
"ο συνταξιούχος","о синдаксьУхос","пенсионер","работа и профессии"
"άνεργος","Анэргос","безработный","работа и профессии"
"δουλεύω","дулЭво","работать","работа и профессии"
"το επάγγελμα","то эпАнгэлма","профессия","работа и профессии"
"το γραφείο","то графИо","офис","работа и профессии"
"ο μισθός","о мистОс","зарплата","работа и профессии"
"το βιβλίο","то вивлИо","книга","учёба"
"το τετράδιο","то тэтрАдьо","тетрадь","учёба"
"το στυλό","то стилО","ручка","учёба"
"το μολύβι","то молИви","карандаш","учёба"
"η τάξη","и тАкси","класс","учёба"
"ο μαθητής","о матитИс","ученик","учёба"
"η μαθήτρια","и матИтрья","ученица","учёба"
"το μάθημα","то мАтима","урок","учёба"
"η εξέταση","и эксЭтаси","экзамен","учёба"
"η γλώσσα","и глОса","язык","учёба"
"διαβάζω","дьавАзо","читать","учёба"
"γράφω","грАфо","писать","учёба"
"μαθαίνω","матЭно","учить, изучать","учёба"
"καταλαβαίνω","каталавЭно","понимать","учёба"
"ρωτάω","ротАо","спрашивать","учёба"
"απαντάω","апандАо","отвечать","учёба"
"η ερώτηση","и эрОтиси","вопрос","учёба"
"η απάντηση","и апАндиси","ответ","учёба"
"ο αθλητισμός","о атлитизмОс","спорт","досуг и спорт"
"το ποδόσφαιρο","то подОсфэро","футбол","досуг и спорт"
"το μπάσκετ","то бАскэт","баскетбол","досуг и спорт"
"το κολύμπι","то колИмби","плавание","досуг и спорт"
"κολυμπάω","колимбАо","плавать","досуг и спорт"
"τρέχω","трЭхо","бегать","досуг и спорт"
"παίζω","пЭзо","играть","досуг и спорт"
"η μουσική","и мусикИ","музыка","досуг и спорт"
"ο χορός","о хорОс","танец","досуг и спорт"
"χορεύω","хорЭво","танцевать","досуг и спорт"
"τραγουδάω","трагудАо","петь","досуг и спорт"
"το τραγούδι","то трагУди","песня","досуг и спорт"
"η ταινία","и тэнИа","фильм","досуг и спорт"
"διασκεδάζω","дьаскэдАзо","развлекаться","досуг и спорт"
"ζωγραφίζω","зографИзо","рисовать","досуг и спорт"
"το χόμπι","то хОби","хобби","досуг и спорт"
"ο ελεύθερος χρόνος","о элЭфтэрос хрОнос","свободное время","досуг и спорт"
"ξεκουράζομαι","ксэкурАзомэ","отдыхать","досуг и спорт"
"καλός; καλή; καλό","калОс; калИ; калО","хороший","прилагательные"
"κακός; κακιά; κακό","какОс; какьЯ; какО","плохой","прилагательные"
"μεγάλος; μεγάλη; μεγάλο","мэгАлос; мэгАли; мэгАло","большой","прилагательные"
"μικρός; μικρή; μικρό","микрОс; микрИ; микрО","маленький","прилагательные"
"νέος; νέα; νέο","нЭос; нЭа; нЭо","новый, молодой","прилагательные"
"παλιός; παλιά; παλιό","пальОс; пальЯ; пальО","старый (о вещах)","прилагательные"
"γέρος; γριά","йЭрос; ярьЯ","старый (о человеке)","прилагательные"
"όμορφος; όμορφη; όμορφο","Оморфос; Оморфи; Оморфо","красивый","прилагательные"
"άσχημος; άσχημη; άσχημο","Асхимос; Асхими; Асхимо","некрасивый, уродливый","прилагательные"
"ψηλός; ψηλή; ψηλό","псилОс; псилИ; псилО","высокий","прилагательные"
"κοντός; κοντή; κοντό","кондОс; кондИ; кондО","низкий, короткий","прилагательные"
"μακρύς; μακριά; μακρύ","макрИс; макрьЯ; макрИ","длинный","прилагательные"
"φαρδύς; φαρδιά; φαρδύ","фардИс; фардьЯ; фардИ","широкий","прилагательные"
"στενός; στενή; στενό","стэнОс; стэнИ; стэнО","узкий","прилагательные"
"βαρύς; βαριά; βαρύ","варИс; варьЯ; варИ","тяжёлый","прилагательные"
"ελαφρύς; ελαφριά; ελαφρύ","элафрИс; элафрьЯ; элафрИ","лёгкий (по весу)","прилагательные"
"εύκολος; εύκολη; εύκολο","Эфколос; Эфколи; Эфколо","лёгкий (несложный)","прилагательные"
"δύσκολος; δύσκολη; δύσκολο","дИсколос; дИсколи; дИсколо","трудный","прилагательные"
"γρήγορος; γρήγορη; γρήγορο","грИгорос; грИгори; грИгоро","быстрый","прилагательные"
"αργός; αργή; αργό","аргОс; аргИ; аргО","медленный","прилагательные"
"καθαρός; καθαρή; καθαρό","катарОс; катарИ; катарО","чистый","прилагательные"
"βρόμικος; βρόμικη; βρόμικο","врОмикос; врОмики; врОмико","грязный","прилагательные"
"γεμάτος; γεμάτη; γεμάτο","йэмАтос; йэмАти; йэмАто","полный","прилагательные"
"άδειος; άδεια; άδειο","Адьос; Адьа; Адьо","пустой","прилагательные"
"πλούσιος; πλούσια; πλούσιο","плУсьос; плУсья; плУсьо","богатый","прилагательные"
"φτωχός; φτωχιά; φτωχό","фтохОс; фтохьЯ; фтохО","бедный","прилагательные"
"δυνατός; δυνατή; δυνατό","динатОс; динатИ; динатО","сильный","прилагательные"
"αδύναμος; αδύναμη; αδύναμο","адИнамос; адИнами; адИнамо","слабый","прилагательные"
"έξυπνος; έξυπνη; έξυπνο","Эксипнос; Эксипни; Эксипно","умный","прилагательные"
"χαζός; χαζή; χαζό","хазОс; хазИ; хазО","глупый","прилагательные"
"καινούριος; καινούρια; καινούριο","кэнУрьос; кэнУрья; кэнУрьо","новый (недавно появившийся)","прилагательные"
"ίδιος; ίδια; ίδιο","Идьос; Идьа; Идьо","такой же, одинаковый","прилагательные"
"διαφορετικός; διαφορετική; διαφορετικό","дьафорэтикОс; дьафорэтикИ; дьафорэтикО","другой, отличный","прилагательные"
"σημαντικός; σημαντική; σημαντικό","симандикОс; симандикИ; симандикО","важный","прилагательные"
"ενδιαφέρον; ενδιαφέρουσα; ενδιαφέρον","эндьафЭрон; эндьафЭруса; эндьафЭрон","интересный","прилагательные"
"βαρετός; βαρετή; βαρετό","варэтОс; варэтИ; варэтО","скучный","прилагательные"
"είμαι","Имэ","быть","глаголы"
"έχω","Эхо","иметь","глаголы"
"κάνω","кАно","делать","глаголы"
"πηγαίνω","пигЭно","идти, ехать","глаголы"
"έρχομαι","Эрхомэ","приходить","глаголы"
"λέω","лЭо","говорить, сказать","глаголы"
"μιλάω","милАо","говорить, разговаривать","глаголы"
"ξέρω","ксЭро","знать","глаголы"
"θέλω","тЭло","хотеть","глаголы"
"μπορώ","борО","мочь","глаголы"
