"forms","pronunciation","translation_ru","category"
"η βδομάδα","и вдомАда","неделя","время"
"βέβαια","вЭвэа","конечно, разумеется","служебные слова"
"βεβαιώνω","вэвэОно","подтверждать","глаголы"
"το βήμα","то вИма","шаг","служебные слова"
"το βιβλιάριο τράπεζας","то вивльАрьо трАпэзас","банковская сберкнижка","покупки и деньги"
"η βιβλιοθήκη","и вивльотИки","книжный шкаф","дом"
"η βιβλιοθήκη","и вивльотИки","библиотека (помещение)","город и направления"
"το βιβλιοπωλείο","то вивльополИо","книжный магазин","город и направления"
"το βιογραφικό","то вьографикО","резюме (CV)","работа и профессии"
"η βοήθεια","и воИтья","помощь","служебные слова"
"η βόλτα","и вОлта","прогулка","досуг и спорт"
"κάνω βόλτα","кАно вОлта","гулять, прогуливаться","досуг и спорт"
"βόρειος; βόρεια; βόρειο","вОрьос; вОрья; вОрьо","северный","прилагательные"
"το βραδινό","то врадинО","ужин","еда и напитки"
"η βραδιά","и врадьЯ","вечер, ночь (событие)","время"
"βράζω","врАзо","кипятить, варить","глаголы"
"βραστός; βραστή; βραστό","врастОс; врастИ; врастО","варёный","прилагательные"
"ο βρεφονηπιακός σταθμός","о врэфонипьакОс статмОс","ясли, детский сад","учёба"
"βρέχει","врЭхи","идёт дождь","погода и природа"
"βρέχομαι","врЭхомэ","промокать","глаголы"
"βρίσκομαι","врИскомэ","находиться","глаголы"
"η βρομιά","и вромьЯ","грязь","дом"
"ο βυθός","о витОс","морское дно","погода и природа"
"η γάζα","и гАза","марля, бинт","тело и здоровье"
"γαλακτοκομικός; γαλακτοκομική; γαλακτοκομικό","галактокомикОс; галактокомикИ; галактокомикО","молочный (продукт)","еда и напитки"
"η γαλλική γλώσσα","и галикИ глОса","французский язык","учёба"
"γαλλικός; γαλλική; γαλλικό","галикОс; галикИ; галикО","французский","прилагательные"
"ο γάμος","о гАмос","свадьба, брак","семья и люди"
"το γαρίφαλο","то гарИфало","гвоздика (цветок)","погода и природа"
"γεια","я","привет","приветствия"
"γεμίζω","йэмИзо","наполнять","глаголы"
"γεννάω; γεννώ","йэнАо; йэнО","рожать","глаголы"
"η γέννηση","и йЭниси","рождение","семья и люди"
"τα γενέθλια","та йэнЭтлья","день рождения","время"
"γερμανικός; γερμανική; γερμανικό","йэрманикОс; йэрманикИ; йэрманикО","немецкий","прилагательные"
"γερά","йэрА","крепко, сильно","служебные слова"
"γερός; γερή; γερό","йэрОс; йэрИ; йэрО","крепкий, здоровый, сильный","прилагательные"
"το γεύμα","то йЭвма","приём пищи, обед","еда и напитки"
"η γεύση","и йЭфси","вкус","еда и напитки"
"το γήπεδο","то йИпэдо","спортивная площадка, стадион","досуг и спорт"
"γι' αυτό","йи' афтО","поэтому","служебные слова"
"ο γιαλός","о ялОс","берег, побережье","город и направления"
"γίνομαι","йИномэ","становиться","глаголы"
"γιορτάζω","йортАзо","праздновать","глаголы"
"η γιορτή","и йортИ","праздник","время"
"το γκαράζ","то гарАз","гараж","дом"
"το γλέντι","то глЭнди","гулянье, весёлая вечеринка","досуг и спорт"
"γλυκός; γλυκιά; γλυκό","гликОс; гликьЯ; гликО","сладкий; милый (перен.)","прилагательные"
"η γνώμη","и гнОми","мнение","служебные слова"
"η μητρική γλώσσα","и митрикИ глОса","родной язык","учёба"
"γνωρίζω","гнорИзо","знать, быть знакомым","глаголы"
"η γνωριμία","и гноримИа","знакомство","семья и люди"
"η γνώση","и гнОси","знание","учёба"
"γνωστός; γνωστή; γνωστό","гностОс; гностИ; гностО","известный, знакомый","прилагательные"
"οι γονείς","и гонИс","родители","семья и люди"
"γοργός; γοργή; γοργό","горгОс; горйИ; горгО","быстрый, стремительный","прилагательные"
"το γράμμα","то грАма","письмо","служебные слова"
"ο γραμματέας; η γραμματέας","о граматЭас; и граматЭас","секретарь","работа и профессии"
"η γραμματική","и граматикИ","грамматика","учёба"
"το γραμματοκιβώτιο","то граматокивОтьо","почтовый ящик","дом"
"το γραμματόσημο","то граматОсимо","почтовая марка","служебные слова"
"η γραμμή","и грамИ","линия","служебные слова"
"γραπτός; γραπτή; γραπτό","граптОс; граптИ; граптО","письменный","прилагательные"
"γρήγορα","грИгора","быстро","служебные слова"
"η γρίπη","и грИпи","грипп","тело и здоровье"
"το γυαλί","то йиалИ","стекло","дом"
"τα γυαλιά ηλίου","та йиальЯ илИу","солнцезащитные очки","одежда"
"το Γυμνάσιο","то йимнАсьо","гимназия (средняя школа)","учёба"
"ο γυμναστής; η γυμνάστρια","о йимнастИс; и йимнАстрья","тренер, инструктор по фитнесу","работа и профессии"
"το γυμναστήριο","то йимнастИрьо","спортзал","досуг и спорт"
"η γυμναστική","и йимнастикИ","физкультура, гимнастика","досуг и спорт"
"γυρίζω; γυρνάω","йирИзо; йирнАо","возвращаться","глаголы"
"γύρω","йИро","вокруг","служебные слова"
"δείχνω","дИхно","показывать","глаголы"
"δεκαεννιά","дэкаэньЯ","девятнадцать","числа"
"δεκατέσσερις; δεκατέσσερα","дэкатЭсэрис; дэкатЭсэра","четырнадцать","числа"
"δέκατος; δέκατη; δέκατο","дЭкатос; дЭкати; дЭкато","десятый","числа"
"δεκατρείς; δεκατρία","дэкатрИс; дэкатрИа","тринадцать","числа"
"ΔΕΗ (Δημόσια Επιχείρηση Ηλεκτρισμού)","дэИ","Государственная энергетическая компания Греции","служебные слова"
"δερμάτινος; δερμάτινη; δερμάτινο","дэрмАтинос; дэрмАтини; дэрмАтино","кожаный","прилагательные"
"δηλαδή","диладИ","то есть","служебные слова"
"το Δημαρχείο","то димархИо","мэрия, ратуша","город и направления"
"ο δήμαρχος; η δήμαρχος","о дИмархос; и дИмархос","мэр","работа и профессии"
"τα δημητριακά","та димитрьакА","злаковые, хлопья","еда и напитки"
"ο δήμος","о дИмос","муниципалитет","город и направления"
"το Δημοτικό σχολείο","то димотикО схолИо","начальная школа","учёба"
"δημόσιος; δημόσια; δημόσιο","димОсьос; димОсья; димОсьо","государственный, публичный","прилагательные"
"ο δημοσιογράφος; η δημοσιογράφος","о димосьогрАфос; и димосьогрАфос","журналист","работа и профессии"
"δημοτικός; δημοτική; δημοτικό","димотикОс; димотикИ; димотикО","муниципальный","прилагательные"
"δηλητηριάζω","дилитирьАзо","отравлять","глаголы"
"η δηλητηρίαση","и дилитирИаси","отравление","тело и здоровье"
"δηλώνω","дилОно","заявлять, декларировать","глаголы"
"το διάβασμα","то дьАвасма","чтение, учёба (дома)","учёба"
"διαγράφω","дьагрАфо","удалять, стирать","глаголы"
"το διαγώνισμα","то дьагОнисма","контрольная работа","учёба"
"διαγώνια","дьагОнья","по диагонали","служебные слова"
"διαδοχικός; διαδοχική; διαδοχικό","дьадохикОс; дьадохикИ; дьадохикО","последовательный","прилагательные"
"διαδοχικά","дьадохикА","последовательно, подряд","служебные слова"
"η διαδρομή","и дьадромИ","маршрут, путь","транспорт и путешествия"
"η διαδικασία","и дьадикасИа","процесс, процедура","служебные слова"
"το διαδίκτυο","то дьадИктио","интернет","служебные слова"
"η διάθεση","и дьАтэси","настроение","чувства и характер"
"η δίαιτα","и дИэта","диета","тело и здоровье"
"πηγαίνω διακοπές","пигЭно дьакопЭс","ехать в отпуск","транспорт и путешествия"
"διαλέγω","дьалЭго","выбирать","глаголы"
"το διάλειμμα","то дьАлима","перемена, перерыв","учёба"
"ο διάλογος","о дьАлогос","диалог","учёба"
"το διαμέρισμα","то дьамЭрисма","квартира","дом"
"η διάρκεια","и дьАркья","длительность, продолжительность","служебные слова"
"διαρκώ","дьаркО","длиться","глаголы"
"διάσημος; διάσημη; διάσημο","дьАсимос; дьАсими; дьАсимо","знаменитый, известный","прилагательные"
"η διασκέδαση","и дьаскЭдаси","развлечение, веселье","досуг и спорт"
"Καλή διασκέδαση!","калИ дьаскЭдаси!","Приятного веселья! Развлекайтесь!","приветствия"
"το διάστημα","то дьАстима","промежуток времени, период","время"
"το διάστημα","то дьАстима","космос","служебные слова"
"η διατροφή","и дьатрофИ","питание, диета","еда и напитки"
"η διατροφή","и дьатрофИ","алименты","семья и люди"
"διαφημίζω","дьафимИзо","рекламировать","глаголы"
"η διαφήμιση","и дьафИмиси","реклама","служебные слова"
"διαφημιστικός; διαφημιστική; διαφημιστικό","дьафимистикОс; дьафимистикИ; дьафимистикО","рекламный","прилагательные"
"η διαφορά","и дьафорА","разница","служебные слова"
"διαφορετικά","дьафорэтикА","по-другому, иначе","служебные слова"
"διάφορος; διάφορη; διάφορο","дьАфорос; дьАфори; дьАфоро","разный, различный","прилагательные"
"διαφωνώ","дьафонО","не соглашаться, спорить","глаголы"
"το δίκλινο δωμάτιο","то дИклино домАтьо","двухместный номер","транспорт и путешествия"
"διπλανός; διπλανή; διπλανό","дипланОс; дипланИ; дипланО","соседний","прилагательные"
"διπλός; διπλή; διπλό","диплОс; диплИ; диплО","двойной","прилагательные"
"διορθώνω","дьортОно","исправлять","глаголы"
"δίνομαι","дИномэ","даваться, быть данным","глаголы"
"ΔΟΥ (Δημόσια Οικονομική Υπηρεσία)","ду","налоговая инспекция","служебные слова"
"οι δουλειές σπιτιού","и дульЭс спитьУ","домашние дела, хлопоты по дому","дом"
"δραματικός; δραματική; δραματικό","драматикОс; драматикИ; драматикО","драматический","прилагательные"
"η δραματική ταινία","и драматикИ тэнИа","драма (фильм)","досуг и спорт"
"η δραστηριότητα","и драстирьОтита","деятельность, активность","служебные слова"
"το δρομολόγιο","то дромолОйо","расписание (автобуса, поезда)","транспорт и путешествия"
"το δυάρι","то диАри","двухкомнатная квартира","дом"
"δυνατά","динатА","сильно (в целом)","служебные слова"
"δυνατά","динатА","громко","служебные слова"
"η δυνατότητα","и динатОтита","возможность, потенциал","служебные слова"
"δύο φορές","дИо форЭс","дважды","числа"
"και οι δύο","кэ и дИо","оба","числа"
"δύσκολα","дИскола","с трудом, едва","служебные слова"
"η δυσκολία","и дисколИа","трудность","служебные слова"
"δυστυχώς","дистихОс","к сожалению","служебные слова"
"δωρεάν","дорэАн","бесплатно","служебные слова"
"το δώρο","то дОро","подарок","служебные слова"
"ο εαυτός","о эафтОс","сам, себя (личность)","местоимения и вопросы"
"έβδομος; έβδομη; έβδομο","Эвдомос; Эвдоми; Эвдомо","седьмой","числа"
"το εγγόνι","то энгОни","внук/внучка (общее)","семья и люди"
"ο εγγονός","о энгонОс","внук","семья и люди"
"η εγγονή","и энгонИ","внучка","семья и люди"
"τα εγκαίνια","та энгЭнья","открытие, торжественное открытие","служебные слова"
"το έγγραφο","то Энграфо","документ","служебные слова"
"εδώ γύρω","эдО йИро","здесь неподалёку","город и направления"
"εδώ και πολύ καιρό","эдО кэ полИ кэрО","уже долгое время","время"
"το έθιμο","то Этимо","обычай, традиция","служебные слова"
"η εθνικότητα","и этникОтита","национальность","семья и люди"
"η ειδοποίηση","и идопИиси","уведомление, извещение","служебные слова"
"η εκτίμηση","и эктИмиси","уважение, оценка","чувства и характер"
"ο ειδικός; η ειδικός","о идикОс; и идикОс","эксперт, специалист","работа и профессии"
"οι ειδήσεις","и идИсис","новости","служебные слова"
"το είδος","то Идос","вид, тип","служебные слова"
"η εικόνα","и икОна","изображение, картинка","служебные слова"
"η ειρήνη","и ирИни","мир (без войны)","служебные слова"
"η είσοδος","и Исодос","вход","город и направления"
"Να τα εκατοστίσεις!","на та экатостИсис!","Живи до ста лет! (пожелание на день рождения)","приветствия"
"η εκδήλωση","и экдИлоси","мероприятие","досуг и спорт"
"η εκδρομή","и экдромИ","экскурсия","транспорт и путешествия"
"η εκπομπή","и экпомбИ","передача, программа (ТВ)","досуг и спорт"
"εκείνη","экИни","её (винительный падеж)","местоимения и вопросы"
"εκείνον","экИнон","его (винительный падеж)","местоимения и вопросы"
"η έκπληξη","и Экпликси","сюрприз","чувства и характер"
"η εκπαίδευση","и экпЭдэфси","образование, обучение","учёба"
"η έκπτωση","и Экптоси","скидка","покупки и деньги"
"οι εκπτώσεις","и экптОсис","распродажа","покупки и деньги"
"έκτος; έκτη; έκτο","Эктос; Экти; Экто","шестой","числа"
"η ελληνική γλώσσα","и элиникИ глОса","греческий язык","учёба"
"ελληνικός; ελληνική; ελληνικό","элиникОс; элиникИ; элиникО","греческий","прилагательные"
"ελπίζω","элпИзо","надеяться","глаголы"
"ΕΛΤΑ (Ελληνικά Ταχυδρομεία)","элтА","греческая почта","служебные слова"
"το ελαιόλαδο","то элэОладо","оливковое масло","еда и напитки"
"ελεύθερος; ελεύθερη; ελεύθερο","элЭфтэрос; элЭфтэри; элЭфтэро","свободный","прилагательные"
"ελεύθερος; ελεύθερη","элЭфтэрос; элЭфтэри","холостой, незамужняя","семья и люди"
"εμένα","эмЭна","меня","местоимения и вопросы"
"το εμπορικό κέντρο","то эмборикО кЭндро","торговый центр","город и направления"
"η εμπειρία","и эмбирИа","опыт","служебные слова"
"η εμφάνιση","и эмфАниси","внешность, внешний вид","чувства и характер"
"ένας; μία; ένα","Энас; мИа; Эна","один, одна, одно (числительное)","числа"
"ένας; μια; ένα","Энас; мья; Эна","один, некий (неопределённый артикль)","числа"
"ένατος; ένατη; ένατο","Энатос; Энати; Энато","девятый","числа"
"ενδιαφέρομαι","эндьафЭромэ","интересоваться","глаголы"
"ενδιαφέρων; ενδιαφέρουσα; ενδιαφέρον","эндьафЭрон; эндьафЭруса; эндьафЭрон","интересный","прилагательные"
"εννέα; εννιά","энЭа; эньЯ","девять","числа"
"ενημερώνω","энимэрОно","информировать, уведомлять","глаголы"
"ενθουσιάζω","энтусьАзо","воодушевлять, восхищать","глаголы"
"η ενότητα","и энОтита","раздел, единство","учёба"
"η ενοικίαση","и эникИаси","аренда, съём","дом"
"ενώνω","энОно","соединять","глаголы"
"οι εξετάσεις","и эксэтАсис","экзамены","учёба"
"εξηγώ","эксигО","объяснять","глаголы"
"η έξοδος","и Эксодос","выход в свет, вечеринка вне дома","досуг и спорт"
"η εξοχή","и эксохИ","загород, сельская местность","город и направления"
"η εξυπηρέτηση","и эксипирЭтиси","обслуживание","работа и профессии"
"εξυπηρετώ","эксипирэтО","обслуживать","глаголы"
"έξω από","Эксо апО","снаружи от, за пределами","служебные слова"
"το εξωτερικό","то эксотэрикО","заграница","город и направления"
"επαγγελματικός; επαγγελματική; επαγγελματικό","эпангэлматикОс; эпангэлматикИ; эпангэлматикО","профессиональный","прилагательные"
"επαναλαμβάνω","эпаналамвАно","повторять","глаголы"
"επιθυμώ","эпитимО","желать","глаголы"
"επικίνδυνος; επικίνδυνη; επικίνδυνο","эпикИндинос; эпикИндини; эпикИндино","опасный","прилагательные"
"επικοινωνώ","эпикинонО","связываться, общаться","глаголы"
"η επικοινωνία","и эпикинонИа","связь, общение","служебные слова"
"επιλέγω","эпилЭго","выбирать","глаголы"
"το έπιπλο","то Эпипло","предмет мебели","дом"
"επίσημος; επίσημη; επίσημο","эпИсимос; эпИсими; эпИсимо","официальный","прилагательные"
"επίσημα","эпИсима","официально","служебные слова"
"επισκέπτομαι","эпискЭптомэ","посещать","глаголы"
"το εισιτήριο με επιστροφή","то иситИрьо мэ эпистрофИ","билет туда-обратно","транспорт и путешествия"
"επιστρέφω","эпистрЭфо","возвращаться, возвращать","глаголы"
"επιτέλους","эпитЭлус","наконец-то","служебные слова"
"η επιτυχία","и эпитихИа","успех","служебные слова"
"η επιτυχία","и эпитихИа","хит (песня)","досуг и спорт"
"επόμενος; επόμενη; επόμενο","эпОмэнос; эпОмэни; эпОмэно","следующий","прилагательные"
"η εποχή","и эпохИ","сезон, эпоха","время"
"επώνυμος; επώνυμη; επώνυμο","эпОнимос; эпОними; эпОнимо","известный, знаменитый","прилагательные"
"η εργασία","и эргасИа","работа, проект","работа и профессии"
"το θεατρικό έργο","то тэатрикО Эрго","пьеса, спектакль","досуг и спорт"
"το εργοστάσιο","то эргостАсьо","завод, фабрика","работа и профессии"
"η έρευνα","и Эрэвна","исследование","учёба"
"το ερωτηματολόγιο","то эротиматолОйо","анкета, опросник","служебные слова"
"εσένα","эсЭна","тебя","местоимения и вопросы"
"η εταιρεία","и этэрИа","компания, фирма","работа и профессии"
"ετοιμάζω","этимАзо","готовить, готовиться","глаголы"
"έτοιμος; έτοιμη; έτοιμο","Этимос; Этими; Этимо","готовый","прилагательные"
"το έτος","то Этос","год","время"
"έτσι","Эци","так, таким образом","служебные слова"
"ευγενικός; ευγενική; ευγενικό","эвйэникОс; эвйэникИ; эвйэникО","вежливый, любезный","прилагательные"
"η ευκαιρία","и эфкэрИа","возможность, случай","служебные слова"
"εύκολα","Эфкола","легко","служебные слова"
"ευρωπαϊκός; ευρωπαϊκή; ευρωπαϊκό","эвропаикОс; эвропаикИ; эвропаикО","европейский","прилагательные"
"η ευτυχία","и эфтихИа","счастье","чувства и характер"
"Ευτυχισμένος ο καινούριος χρόνος!","эфтихисмЭнос о кэнУрьос хрОнос!","Счастливого Нового года!","приветствия"
"ευτυχώς","эфтихОс","к счастью","служебные слова"
"ευχάριστος; ευχάριστη; ευχάριστο","эфхАристос; эфхАристи; эфхАристо","приятный","прилагательные"
"ευχαριστημένος; ευχαριστημένη; ευχαριστημένο","эфхаристимЭнос; эфхаристимЭни; эфхаристимЭно","довольный","чувства и характер"
"η ευχή","и эфхИ","пожелание","служебные слова"
"τα εφέ","та эфЭ","эффекты","служебные слова"
"η εφημερίδα","и эфимэрИда","газета","служебные слова"
"η εφορία","и эфорИа","налоговая служба","работа и профессии"
"η ζέστη","и зЭсти","жара, тепло","погода и природа"
"κάνει ζέστη","кАни зЭсти","жарко","погода и природа"
"το ζευγάρι","то зэвгАри","пара","семья и люди"
"Να ζήσετε!","на зИсэтэ!","Совет да любовь! (пожелание молодожёнам)","приветствия"
"ζητάω; ζητώ","зитАо; зитО","просить, требовать","глаголы"
"το ζυμαρικό","то зимарикО","паста, макаронные изделия","еда и напитки"
"η ζωγραφική","и зографикИ","живопись, рисование","досуг и спорт"
"η ζωή","и зоИ","жизнь","служебные слова"
"ζωηρός; ζωηρή; ζωηρό","зоирОс; зоирИ; зоирО","бойкий, живой, непоседливый","чувства и характер"
"ζωντανός; ζωντανή; ζωντανό","зонданОс; зонданИ; зонданО","живой","прилагательные"
"η ζωντανή μουσική","и зонданИ мусикИ","живая музыка","досуг и спорт"
"το ζώο","то зОо","животное","животные"
"η ηθοποιός","и итопьОс","актриса","работа и профессии"
"ο ηθοποιός","о итопьОс","актёр","работа и профессии"
"ηλεκτρικός; ηλεκτρική; ηλεκτρικό","илэктрикОс; илэктрикИ; илэктрикО","электрический","прилагательные"
"τα ηλεκτρικά είδη","та илэктрикА Иди","электротовары","покупки и деньги"
"η ηλεκτροπληξία","и илэктропликсИа","удар током","тело и здоровье"
"ο ηλικιωμένος; η ηλικιωμένη","о иликьомЭнос; и иликьомЭни","пожилой человек","семья и люди"
"έχει ήλιο","Эхи Ильо","солнечно","погода и природа"
"η ημέρα","и имЭра","день","время"
"η ημερομηνία","и имэроминИа","дата","время"
"ήπιος; ήπια; ήπιο","Ипьос; Ипья; Ипьо","мягкий, умеренный","прилагательные"
"ήρεμος; ήρεμη; ήρεμο","Ирэмос; Ирэми; Ирэмо","спокойный","чувства и характер"
"η ησυχία","и исихИа","тишина, спокойствие","служебные слова"
"ήσυχος; ήσυχη; ήσυχο","Исихос; Исихи; Исихо","тихий, спокойный","прилагательные"
